ref	formula	pycel	hyperformula	ironcalc	formulas
GCD/gcd-with-zero	=GCD(0, 8)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":8},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":8},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":8},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":8},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMLN/imln-of-complex	=IMLN("3+4i")	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1.6094379124341003+0.9272952180016122i"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1.6094379124341+0.927295218001612i"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1.6094379124341003+0.9272952180016122i"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMLN/imln-of-i	=IMLN("i")	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1.5707963267948966i"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1.5707963267949i"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1.5707963267948966i"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMLN/imln-of-real	=IMLN("1")	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"0"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"0"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"0"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMPOWER/impower-of-i-squared	=IMPOWER("i", 2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"-1+1.2246467991473532e-16i"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"-1+0.000000000000000122464679914735i"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"-1"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMPOWER/impower-squared	=IMPOWER("2+3i", 2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"-5+12i"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"-5+12i"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"-5+12i"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMPOWER/impower-zeroth	=IMPOWER("2+3i", 0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"1"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMSQRT/imsqrt-of-complex	=IMSQRT("3+4i")	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"2+i"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"2+i"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"2+i"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMSQRT/imsqrt-of-i	=IMSQRT("i")	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"0.7071067811865476+0.7071067811865475i"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"0.707106781186548+0.707106781186547i"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"0.7071067811865476+0.7071067811865475i"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
IMSQRT/imsqrt-of-real	=IMSQRT("4")	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"2"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"2"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"string","value":"2"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
